repo	scope	file_count	skill_files	script_files	python_files	powershell_files	shell_files	marketplace_plugins	risk_interpretation	evidence
anthropic-cybersecurity-skills	full_snapshot	4187	754	1032	1031	2	0	1	Very large executable surface; safe for taxonomy and selective review, unsafe for bulk install.	repo@0f429d0:git tree; skills/*/scripts/*
privacy-data-protection-skills	full_snapshot	4172	824	824	824	0	0	21	Large but cleaner script surface; still requires selective review and no third-party script execution.	repo@9b2ef9e:git tree; plugins/*/skills/*/scripts/process.py
anthropic-cybersecurity-skills	prompt_injection_strings	7	1	1	0	0	0	0	Mostly defensive examples and prompt-injection detection fixtures, but scanner must distinguish examples from directives.	repo@0f429d0:skills/detecting-ai-model-prompt-injection-attacks/SKILL.md
privacy-data-protection-skills	prompt_injection_strings	3	0	3	3	0	0	0	Appears in LLM output privacy risk tests; should be allowed only as quoted fixture data.	repo@9b2ef9e:skills/privacy/llm-output-privacy-risk/scripts/process.py
anthropic-cybersecurity-skills	fetch_execute_patterns	20	8	4	4	0	0	0	Some are detection examples, some are install snippets; scanner should flag for review rather than auto-trust.	repo@0f429d0:skills/building-c2-infrastructure-with-sliver-framework/SKILL.md; skills/detecting-aws-credential-exposure-with-trufflehog/SKILL.md
privacy-data-protection-skills	fetch_execute_patterns	0	0	0	0	0	0	0	No quick-scan fetch-execute hits found in pinned snapshot.	repo@9b2ef9e:rg pattern scan
anthropic-cybersecurity-skills	secret_shape_hits	7	4	1	1	0	0	0	Observed fake/example tokens and false positives; scanner needs fixture-aware findings with manual review.	repo@0f429d0:skills/performing-cryptographic-audit-of-application/scripts/process.py
privacy-data-protection-skills	secret_shape_hits	0	0	0	0	0	0	0	No quick-scan secret-shaped hits found in pinned snapshot.	repo@9b2ef9e:rg pattern scan
anthropic-cybersecurity-skills	offensive_operations_many	754	754	1032	1031	2	0	1	Includes pentest, red-team, exploit, C2, malware, wireless testing categories; needs authorization gates.	repo@0f429d0:README.md; skill names
privacy-data-protection-skills	compliance_operations_many	4172	824	824	824	0	0	21	Includes templates and compliance automations; main risk is stale or jurisdictionally wrong advice.	repo@9b2ef9e:CHANGELOG.md; SECURITY.md
