candidate_id	repo	source_path	classification	rationale	evidence	required_review
C001	anthropic-cybersecurity-skills	skills/acquiring-disk-image-with-dd-and-dcfldd	link	Read-only DFIR workflow has conceptual value, but chain-of-custody is domain-specific	repo@0f429d0:skills/acquiring-disk-image-with-dd-and-dcfldd/SKILL.md	Forensics evidence handling policy
C002	anthropic-cybersecurity-skills	skills/analyzing-api-gateway-access-logs	convert	Could become defensive log-analysis recipe for setup audits	repo@0f429d0:skills/analyzing-api-gateway-access-logs/SKILL.md	Log schema and data privacy review
C003	anthropic-cybersecurity-skills	skills/analyzing-apt-group-with-mitre-navigator	link	Useful CTI workflow but not core setup-audit content	repo@0f429d0:skills/analyzing-apt-group-with-mitre-navigator/SKILL.md	Attribution caution
C004	anthropic-cybersecurity-skills	skills/analyzing-cloud-storage-access-patterns	convert	Good pattern for source-health checks on cloud logs	repo@0f429d0:skills/analyzing-cloud-storage-access-patterns/SKILL.md	Cloud provider docs and auth scope
C005	anthropic-cybersecurity-skills	skills/analyzing-dns-logs-for-exfiltration	link	Useful defensive detection idea; environment-specific	repo@0f429d0:skills/analyzing-dns-logs-for-exfiltration/SKILL.md	DNS log schema review
C006	anthropic-cybersecurity-skills	skills/analyzing-email-headers-for-phishing-investigation	link	Safe-ish analysis workflow for email artifacts	repo@0f429d0:skills/analyzing-email-headers-for-phishing-investigation/SKILL.md	PII handling and mail source approval
C007	anthropic-cybersecurity-skills	skills/building-c2-infrastructure-with-sliver-framework	reject	Offensive C2 build workflow is outside setup-audit safe defaults	repo@0f429d0:skills/building-c2-infrastructure-with-sliver-framework/SKILL.md	Only under explicit authorized red-team scope
C008	anthropic-cybersecurity-skills	skills/detecting-ai-model-prompt-injection-attacks	convert	Directly useful for skill scanner fixtures and guardrails	repo@0f429d0:skills/detecting-ai-model-prompt-injection-attacks/SKILL.md	Fixture-safe extraction only
C009	anthropic-cybersecurity-skills	skills/detecting-aws-credential-exposure-with-trufflehog	link	Good source for secret-scan workflow concept	repo@0f429d0:skills/detecting-aws-credential-exposure-with-trufflehog/SKILL.md	Tool install command review
C010	anthropic-cybersecurity-skills	skills/hunting-for-supply-chain-compromise	convert	Useful scanner-rule source for fetch-execute and CI supply-chain patterns	repo@0f429d0:skills/hunting-for-supply-chain-compromise/SKILL.md	No live external scanning
C011	anthropic-cybersecurity-skills	skills/prioritizing-vulnerabilities-with-cvss-scoring	link	Useful scoring vocabulary but not setup-specific	repo@0f429d0:skills/prioritizing-vulnerabilities-with-cvss-scoring/SKILL.md	CVSS source freshness
C012	anthropic-cybersecurity-skills	skills/securing-github-actions-workflows	convert	Relevant to repo setup and CI hardening	repo@0f429d0:skills/securing-github-actions-workflows/SKILL.md	GitHub docs authority check
C013	anthropic-cybersecurity-skills	skills/scanning-container-images-with-grype	link	Good optional source for container repos	repo@0f429d0:skills/scanning-container-images-with-grype/SKILL.md	Tool install and SBOM scope
C014	anthropic-cybersecurity-skills	skills/testing-api-security-with-owasp-top-10	link	Security test taxonomy valuable; offensive test execution gated	repo@0f429d0:skills/testing-api-security-with-owasp-top-10/SKILL.md	Target authorization
C015	privacy-data-protection-skills	plugins/privacy-engineering-skills	convert	Technical privacy workflows are more mechanically verifiable than legal templates	repo@9b2ef9e:.claude-plugin/marketplace.json	Review scripts and primary technical references
C016	privacy-data-protection-skills	plugins/data-classification-skills	convert	PII discovery and lineage patterns fit setup-audit risk modeling	repo@9b2ef9e:.claude-plugin/marketplace.json	False positive/negative tests
C017	privacy-data-protection-skills	plugins/ai-privacy-governance-skills	link	Useful AI governance taxonomy; legal claims fast-moving	repo@9b2ef9e:.claude-plugin/marketplace.json	Primary EU AI Act and regulator review
C018	privacy-data-protection-skills	plugins/privacy-impact-assessment-skills	link	DPIA/PIA workflow templates are valuable but jurisdictional	repo@9b2ef9e:.claude-plugin/marketplace.json	Primary law and org risk threshold
C019	privacy-data-protection-skills	plugins/data-subject-rights-skills	link	DSAR workflows useful but deadlines/exemptions vary	repo@9b2ef9e:.claude-plugin/marketplace.json	Jurisdiction and counsel check
C020	privacy-data-protection-skills	plugins/data-breach-response-skills	link	Incident checklist value; notification rules are high-stakes	repo@9b2ef9e:.claude-plugin/marketplace.json	Current regulator/counsel check
C021	privacy-data-protection-skills	plugins/cookie-consent-skills	link	Useful for web app setup recommendations	repo@9b2ef9e:.claude-plugin/marketplace.json	Regulator-specific cookie rules
C022	privacy-data-protection-skills	plugins/vendor-privacy-management-skills	link	Useful vendor-risk vocabulary	repo@9b2ef9e:.claude-plugin/marketplace.json	Contract and counsel review
C023	privacy-data-protection-skills	plugins/healthcare-privacy-skills	reject	High-stakes HIPAA/PHI claims should not be imported into generic setup-audit	repo@9b2ef9e:.claude-plugin/marketplace.json	Use only as discovery source with primary references
C024	privacy-data-protection-skills	plugins/privacy-skills-complete	reject	Bulk complete bundle is too broad for safe default install	repo@9b2ef9e:.claude-plugin/marketplace.json	Selective domain plugin review only
C025	privacy-data-protection-skills	plugins/records-of-processing-skills	link	RoPA workflow useful for enterprise privacy ops	repo@9b2ef9e:.claude-plugin/marketplace.json	Controller/processor role review
