repo	taxonomy_type	category	skill_count	source_path	value	caution	evidence
anthropic-cybersecurity-skills	cyber-domain	cloud-security	60	skills/*/SKILL.md	Cloud posture, storage, IAM, and detection workflows	Needs cloud provider doc review before recommendations	repo@0f429d0:README.md; skills/analyzing-cloud-storage-access-patterns/SKILL.md
anthropic-cybersecurity-skills	cyber-domain	threat-hunting	55	skills/*/SKILL.md	Hunt playbooks and detection hypotheses	Can drift with current threat tradecraft	repo@0f429d0:README.md
anthropic-cybersecurity-skills	cyber-domain	threat-intelligence	50	skills/*/SKILL.md	APT, CTI, attribution, IOC workflows	Must avoid overclaiming attribution	repo@0f429d0:skills/analyzing-apt-group-with-mitre-navigator/SKILL.md
anthropic-cybersecurity-skills	cyber-domain	web-application-security	42	skills/*/SKILL.md	OWASP-style appsec testing patterns	Offensive testing requires authorization gate	repo@0f429d0:README.md
anthropic-cybersecurity-skills	cyber-domain	network-security	40	skills/*/SKILL.md	Network scan, logs, and monitoring workflows	No live scanning without explicit target approval	repo@0f429d0:README.md
anthropic-cybersecurity-skills	cyber-domain	malware-analysis	39	skills/*/SKILL.md	Static and dynamic malware analysis patterns	Do not execute samples or payloads	repo@0f429d0:skills/analyzing-android-malware-with-apktool/SKILL.md
anthropic-cybersecurity-skills	cyber-domain	digital-forensics	37	skills/*/SKILL.md	Forensics workflows, disk images, browser artifacts	Chain-of-custody and evidence handling need local policy	repo@0f429d0:skills/acquiring-disk-image-with-dd-and-dcfldd/SKILL.md
anthropic-cybersecurity-skills	cyber-domain	security-operations	36	skills/*/SKILL.md	SIEM, log triage, detection operations	Requires environment-specific log schemas	repo@0f429d0:skills/analyzing-api-gateway-access-logs/SKILL.md
anthropic-cybersecurity-skills	cyber-domain	identity-and-access	35	skills/*/SKILL.md	AD, IAM, Kerberos, access abuse analysis	Can touch sensitive directory data	repo@0f429d0:skills/analyzing-active-directory-acl-abuse/SKILL.md
anthropic-cybersecurity-skills	cyber-domain	soc-operations	33	skills/*/SKILL.md	SOC triage and alert workflows	Needs local escalation policy	repo@0f429d0:skills/analyzing-dns-logs-for-exfiltration/SKILL.md
anthropic-cybersecurity-skills	cyber-domain	container-security	30	skills/*/SKILL.md	Container image, daemon, and registry security	Tool installs and scans need sandboxing	repo@0f429d0:README.md
anthropic-cybersecurity-skills	cyber-domain	ot-ics-security	28	skills/*/SKILL.md	Industrial control system assessment concepts	High-risk environment; read-only only by default	repo@0f429d0:README.md
anthropic-cybersecurity-skills	cyber-domain	api-security	28	skills/*/SKILL.md	API auth, BOLA, rate limit, and log analysis	Testing needs owned target and auth boundary	repo@0f429d0:README.md
anthropic-cybersecurity-skills	cyber-domain	incident-response	25	skills/*/SKILL.md	IR workflow templates and response steps	Must fit actual incident command structure	repo@0f429d0:README.md
anthropic-cybersecurity-skills	cyber-domain	vulnerability-management	25	skills/*/SKILL.md	CVSS, SSVC, SBOM, prioritization	Risk scoring can be stale without current CVEs	repo@0f429d0:skills/prioritizing-vulnerabilities-with-cvss-scoring/SKILL.md
anthropic-cybersecurity-skills	cyber-domain	red-teaming	24	skills/*/SKILL.md	Adversarial scenarios and control validation	Requires strict authorization and scope gate	repo@0f429d0:README.md
anthropic-cybersecurity-skills	cyber-domain	penetration-testing	23	skills/*/SKILL.md	Pentest procedures and tool workflows	Do not execute against unapproved systems	repo@0f429d0:README.md
anthropic-cybersecurity-skills	cyber-domain	devsecops	17	skills/*/SKILL.md	CI/CD and supply-chain detection patterns	Could advise pipeline changes; require review	repo@0f429d0:README.md
anthropic-cybersecurity-skills	cyber-domain	endpoint-security	17	skills/*/SKILL.md	Endpoint detection and hardening workflows	Needs OS-specific authority	repo@0f429d0:README.md
anthropic-cybersecurity-skills	cyber-domain	phishing-defense	16	skills/*/SKILL.md	Email header, CT, and phishing detection	Do not contact suspected attacker infrastructure	repo@0f429d0:skills/analyzing-email-headers-for-phishing-investigation/SKILL.md
anthropic-cybersecurity-skills	cyber-domain	cryptography	14	skills/*/SKILL.md	Crypto audit and key handling workflows	Crypto advice must be implementation-specific	repo@0f429d0:README.md
anthropic-cybersecurity-skills	cyber-domain	zero-trust	13	skills/*/SKILL.md	Access and network trust patterns	Architecture claims need target context	repo@0f429d0:README.md
anthropic-cybersecurity-skills	cyber-domain	mobile-security	12	skills/*/SKILL.md	Android/iOS reverse engineering and testing	Device/app ownership must be clear	repo@0f429d0:skills/analyzing-android-malware-with-apktool/SKILL.md
anthropic-cybersecurity-skills	cyber-domain	ransomware-defense	7	skills/*/SKILL.md	Recovery, wallet analysis, resilience drills	Incident claims must not become legal/insurance advice	repo@0f429d0:README.md
anthropic-cybersecurity-skills	cyber-domain	compliance-governance	5	skills/*/SKILL.md	Security governance templates	Prefer current primary frameworks	repo@0f429d0:README.md
anthropic-cybersecurity-skills	cyber-domain	deception-technology	2	skills/*/SKILL.md	Honeytokens and deception patterns	Can affect production identity systems	repo@0f429d0:skills/deploying-active-directory-honeytokens/SKILL.md
privacy-data-protection-skills	privacy-plugin	privacy-skills-complete	282	plugins/privacy-skills-complete	Complete privacy skill bundle	Bulk install too broad; selective review only	repo@9b2ef9e:.claude-plugin/marketplace.json
privacy-data-protection-skills	privacy-plugin	gdpr-compliance-skills	18	plugins/gdpr-compliance-skills	GDPR audit, DPO, DPA, supervisory workflows	Needs primary GDPR/EDPB citation check	repo@9b2ef9e:.claude-plugin/marketplace.json
privacy-data-protection-skills	privacy-plugin	privacy-impact-assessment-skills	18	plugins/privacy-impact-assessment-skills	DPIA/PIA screening and mitigation	Needs jurisdiction and risk-threshold check	repo@9b2ef9e:.claude-plugin/marketplace.json
privacy-data-protection-skills	privacy-plugin	data-subject-rights-skills	15	plugins/data-subject-rights-skills	DSAR, erasure, portability workflows	Deadlines and exemptions vary by jurisdiction	repo@9b2ef9e:.claude-plugin/marketplace.json
privacy-data-protection-skills	privacy-plugin	ai-privacy-governance-skills	15	plugins/ai-privacy-governance-skills	AI DPIA, training data, LLM privacy	AI law is fast-moving and must be verified	repo@9b2ef9e:.claude-plugin/marketplace.json
privacy-data-protection-skills	privacy-plugin	consent-management-skills	14	plugins/consent-management-skills	Consent withdrawal and preference flows	Consent standard differs across regimes	repo@9b2ef9e:.claude-plugin/marketplace.json
privacy-data-protection-skills	privacy-plugin	privacy-engineering-skills	14	plugins/privacy-engineering-skills	PII detection, differential privacy, metrics	Technical controls need implementation tests	repo@9b2ef9e:.claude-plugin/marketplace.json
privacy-data-protection-skills	privacy-plugin	privacy-by-design-skills	13	plugins/privacy-by-design-skills	PETs, data minimization, architecture patterns	Do not present PETs as compliance guarantee	repo@9b2ef9e:.claude-plugin/marketplace.json
privacy-data-protection-skills	privacy-plugin	data-breach-response-skills	13	plugins/data-breach-response-skills	Breach notification and response templates	Legal deadlines require current counsel/regulator check	repo@9b2ef9e:.claude-plugin/marketplace.json
privacy-data-protection-skills	privacy-plugin	us-state-privacy-skills	13	plugins/us-state-privacy-skills	CCPA/CPRA and state privacy workflows	State laws change frequently	repo@9b2ef9e:.claude-plugin/marketplace.json
privacy-data-protection-skills	privacy-plugin	cross-border-transfers-skills	12	plugins/cross-border-transfers-skills	SCCs, BCRs, TIA patterns	Transfer rules require current regulator review	repo@9b2ef9e:.claude-plugin/marketplace.json
privacy-data-protection-skills	privacy-plugin	cookie-consent-skills	12	plugins/cookie-consent-skills	TCF, CNIL, GPC, server-side tracking	Regulator-specific cookie rules change	repo@9b2ef9e:.claude-plugin/marketplace.json
privacy-data-protection-skills	privacy-plugin	data-classification-skills	12	plugins/data-classification-skills	PII discovery, lineage, labeling	Classifier false positives and negatives matter	repo@9b2ef9e:.claude-plugin/marketplace.json
privacy-data-protection-skills	privacy-plugin	data-retention-skills	12	plugins/data-retention-skills	Retention schedule and deletion workflows	Litigation hold and sector rules override generic advice	repo@9b2ef9e:.claude-plugin/marketplace.json
privacy-data-protection-skills	privacy-plugin	global-privacy-regulations-skills	12	plugins/global-privacy-regulations-skills	LGPD, PIPL, PDPA, APPI, DPDP	High staleness risk across many laws	repo@9b2ef9e:.claude-plugin/marketplace.json
privacy-data-protection-skills	privacy-plugin	vendor-privacy-management-skills	11	plugins/vendor-privacy-management-skills	DPA, subprocessor, vendor scoring	Contract language needs counsel review	repo@9b2ef9e:.claude-plugin/marketplace.json
privacy-data-protection-skills	privacy-plugin	healthcare-privacy-skills	11	plugins/healthcare-privacy-skills	HIPAA, PHI, BAA, telehealth workflows	Healthcare privacy is high-stakes	repo@9b2ef9e:.claude-plugin/marketplace.json
privacy-data-protection-skills	privacy-plugin	employee-privacy-skills	11	plugins/employee-privacy-skills	Monitoring, BYOD, biometrics, HR data	Employee privacy varies by jurisdiction	repo@9b2ef9e:.claude-plugin/marketplace.json
privacy-data-protection-skills	privacy-plugin	privacy-audit-skills	11	plugins/privacy-audit-skills	ISO 27701, SOC 2, maturity audits	Standards require current version checks	repo@9b2ef9e:.claude-plugin/marketplace.json
privacy-data-protection-skills	privacy-plugin	records-of-processing-skills	10	plugins/records-of-processing-skills	RoPA creation and dashboard patterns	Needs controller/processor role clarity	repo@9b2ef9e:.claude-plugin/marketplace.json
privacy-data-protection-skills	privacy-plugin	children-privacy-skills	10	plugins/children-privacy-skills	COPPA, UK AADC, age verification	Higher-risk subject class; primary-source review required	repo@9b2ef9e:.claude-plugin/marketplace.json
